,stack,express,action
21,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_', 'factor']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
22,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_', 'const']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
23,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_', 'num_const']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
24,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_', 'INT10']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : INT10
25,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_']","[';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",可替代为空
26,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_']","[';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",可替代为空
27,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation']","[';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",可替代为空
28,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';', 'vars']","[';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",可替代为空
29,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', ';']","[';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : ;
30,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts']","['int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
31,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmt']","['int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
